intervention,measurement_layer,initial_persona_effect,initial_emotion_effect,persona_auc,emotion_auc
emotion,20,0.1876568913459778,0.4100258231163025,0.5218955837190151,1.1528687611222266
emotion,27,1.4277952194213868,2.1548243165016174,5.447620964050293,6.9878408849239335
persona,20,0.454246461391449,0.1784459114074707,1.4184953704476357,0.5109108388423921
persona,27,4.577345609664917,2.279688024520874,19.006628417968752,7.642425227165222
