emotion,layer,overlap_cosine,parallel_fraction,full_sycophancy,orthogonal_sycophancy,full_emotion,orthogonal_emotion,sycophancy_reduction,emotion_preservation
empathetic,20,0.12643233,0.01598514,1.8941880881786346,0.09696021676063538,13.360602235794067,13.182241916656494,1.7972278714179992,0.9866502784837249
empathetic,21,0.12643233,0.01598514,2.253558021783829,0.3208038486540318,13.217927026748658,12.97395396232605,1.9327541731297972,0.9815422596955719
empathetic,22,0.12643233,0.01598514,2.1106119036674498,0.11319826245307922,13.275589847564698,13.045603466033935,1.9974136412143706,0.982675995253578
empathetic,23,0.12643233,0.01598514,2.2232007503509523,0.009036475047469138,13.382881832122802,13.137758922576904,2.2141642753034834,0.9816838471249494
empathetic,24,0.12643233,0.01598514,2.4905643582344057,0.10303759649395942,14.037315082550048,13.787849569320679,2.387526761740446,0.9822284025283807
empathetic,25,0.12643233,0.01598514,2.6853967666625977,0.06439517103135586,14.443981456756593,14.144006395339966,2.621001595631242,0.9792318300660581
empathetic,26,0.12643233,0.01598514,2.6325276106595994,-0.11130371615290642,14.774808931350709,14.486952590942384,2.521223894506693,0.9805170854157361
empathetic,27,0.12643233,0.01598514,3.7746510207653046,0.1769214689731598,14.595174169540405,14.23627429008484,3.5977295517921446,0.9754096884842541
exuberant,20,0.11942009,0.0142611535,1.2869196712970734,0.1362305298447609,8.9902512550354,8.876842403411866,1.1506891414523126,0.987385352377108
exuberant,21,0.11942009,0.0142611535,1.3297916769981384,0.09737871438264847,8.649891567230224,8.566322708129883,1.2324129626154898,0.990338739110102
exuberant,22,0.11942009,0.0142611535,1.453058558702469,0.1747083142399788,8.596669816970826,8.51103253364563,1.2783502444624901,0.9900383188899335
exuberant,23,0.11942009,0.0142611535,1.7977813839912415,0.36579981446266174,8.458790016174316,8.35640230178833,1.4319815695285798,0.9878957020814789
exuberant,24,0.11942009,0.0142611535,2.0340616703033447,0.4815728522837162,8.721876049041748,8.587514853477478,1.5524888180196286,0.9845949203120087
exuberant,25,0.11942009,0.0142611535,2.149112182855606,0.4431036256253719,9.040512466430664,8.901874327659607,1.706008557230234,0.9846647920363087
exuberant,26,0.11942009,0.0142611535,2.3022551417350767,0.5191877588629723,9.404205942153931,9.24251093864441,1.7830673828721044,0.982806097133121
exuberant,27,0.11942009,0.0142611535,4.1146557331085205,1.7557490020990372,9.933997702598571,9.452120518684387,2.3589067310094833,0.9514921184461184
invigorated,20,0.066180095,0.004379803,0.818267571926117,0.13212638050317765,9.933722305297852,9.888093376159668,0.6861411914229394,0.9954066635108323
invigorated,21,0.066180095,0.004379803,1.0250698179006577,0.2934470072388649,9.7374032497406,9.683368921279907,0.7316228106617928,0.9944508482318289
invigorated,22,0.066180095,0.004379803,0.9857841730117798,0.2281046539545059,9.839273166656493,9.787557935714721,0.7576795190572738,0.9947439988639583
invigorated,23,0.066180095,0.004379803,1.021677029132843,0.17391011416912078,10.001561164855957,9.940052223205566,0.8477669149637221,0.9938500659410527
invigorated,24,0.066180095,0.004379803,0.8690791234374047,-0.050464995205402374,10.506845664978027,10.449599361419677,0.8186141282320023,0.994551523322631
invigorated,25,0.066180095,0.004379803,0.9153031036257744,-0.09601536840200424,11.073272562026977,11.007638120651245,0.8192877352237702,0.9940727150886894
invigorated,26,0.066180095,0.004379803,1.0981031000614165,0.04673427790403366,11.802503633499146,11.721791076660157,1.051368822157383,0.9931614037711539
invigorated,27,0.066180095,0.004379803,4.100694835186005,2.735271543264389,13.141308498382568,12.851159811019897,1.3654232919216156,0.9779208678193362
cheerful,20,0.23808473,0.056684315,2.8883101463317873,0.19482259452342987,10.628583097457886,10.194308614730835,2.6934875518083574,0.9591408865372733
cheerful,21,0.23808473,0.056684315,3.032839095592499,0.1375763386487961,10.207145547866821,9.758762168884278,2.8952627569437026,0.95607161895754
cheerful,22,0.23808473,0.056684315,3.2044370770454407,0.2006309822201729,10.223030185699463,9.819304943084717,3.0038060948252676,0.9605082607327621
cheerful,23,0.23808473,0.056684315,3.6905065059661863,0.3611470654606819,10.36138563156128,9.864610147476196,3.3293594405055043,0.9520551109909584
cheerful,24,0.23808473,0.056684315,4.068195033073425,0.46854332387447356,10.536805200576783,9.99618582725525,3.5996517091989517,0.9486922873650602
cheerful,25,0.23808473,0.056684315,4.2968070149421695,0.33281087726354597,10.760452938079833,10.190928602218628,3.9639961376786235,0.9470724569738386
cheerful,26,0.23808473,0.056684315,4.332455360889435,0.15673640221357346,11.522201871871948,10.967176675796509,4.175718958675862,0.9518299364785155
cheerful,27,0.23808473,0.056684315,6.093768155574798,0.4962369441986084,13.715552377700806,12.407563257217408,5.5975312113761895,0.9046346013296577
joyful,20,0.033130758,0.0010976482,1.614286631345749,0.8726961374282837,20.27663097381592,20.18886318206787,0.7415904939174652,0.9956714805402639
joyful,21,0.033130758,0.0010976482,1.3135060310363769,0.5204670459032059,17.983697605133056,17.909101676940917,0.793038985133171,0.9958520249934114
joyful,22,0.033130758,0.0010976482,2.023625189065933,1.195452630519867,16.066629886627197,15.97847146987915,0.8281725585460662,0.9945129490521578
joyful,23,0.033130758,0.0010976482,2.569504809379578,1.6282272219657898,15.67894721031189,15.576632118225097,0.941277587413788,0.9934743646550771
joyful,24,0.033130758,0.0010976482,3.0118236899375916,1.9862529516220093,16.171499300003052,16.036998510360718,1.0255707383155823,0.9916828497378527
joyful,25,0.033130758,0.0010976482,3.4030075907707213,2.2631298184394835,16.134055423736573,15.995683526992797,1.1398777723312379,0.991423613399753
joyful,26,0.033130758,0.0010976482,4.525227892398834,3.303457075357437,16.21091232299805,16.04754419326782,1.221770817041397,0.989922335863944
joyful,27,0.033130758,0.0010976482,9.63790340423584,7.864765167236328,20.869429874420167,20.14821252822876,1.773138236999511,0.9654414447097375
happy,20,0.04642079,0.002154891,1.403799831867218,0.5915551081299781,15.328585863113403,15.269163131713867,0.8122447237372399,0.9961234042115698
happy,21,0.04642079,0.002154891,1.3497430026531219,0.4778094246983528,13.526356267929078,13.471856689453125,0.871933577954769,0.995970860341364
happy,22,0.04642079,0.002154891,2.0834627985954284,1.1779655039310455,12.267009067535401,12.188586282730103,0.9054972946643829,0.9936070166432954
happy,23,0.04642079,0.002154891,2.528562533855438,1.5165396630764008,11.951711797714234,11.83169322013855,1.0120228707790373,0.9899580428638987
happy,24,0.04642079,0.002154891,2.8478092670440676,1.7610034704208375,12.435375308990478,12.268868923187256,1.08680579662323,0.986610264534369
happy,25,0.04642079,0.002154891,3.0721075773239135,1.8693326741456986,12.504334592819214,12.318053913116454,1.202774903178215,0.9851027115181535
happy,26,0.04642079,0.002154891,4.465449464321137,3.1902679920196535,13.147003698349,12.898037672042847,1.2751814723014832,0.9810629074108028
happy,27,0.04642079,0.002154891,11.780927801132203,9.972673583030701,17.76454014778137,16.926505279541015,1.808254218101501,0.9528254116757974
optimistic,20,0.06726612,0.004524728,1.6556799769401551,0.35574487745761874,17.81099796295166,17.695598888397218,1.2999350994825365,0.993520909115004
optimistic,21,0.06726612,0.004524728,1.5546172320842744,0.15615421310067176,15.992098999023437,15.864465761184693,1.3984630189836027,0.9920189815078972
optimistic,22,0.06726612,0.004524728,2.3798781871795653,0.9342776030302048,14.7860764503479,14.597820472717284,1.4456005841493607,0.9872680235177476
optimistic,23,0.06726612,0.004524728,3.029433345794678,1.395386192202568,14.723285007476807,14.456980657577514,1.6340471535921097,0.9819127083552306
optimistic,24,0.06726612,0.004524728,3.3874372124671934,1.611560159921646,15.377306795120239,15.048198461532593,1.7758770525455474,0.9785977910194207
optimistic,25,0.06726612,0.004524728,3.407699429988861,1.4490483373403549,15.531168031692506,15.178704261779785,1.9586510926485061,0.977306035889027
optimistic,26,0.06726612,0.004524728,4.098783111572265,2.023378241062164,16.117037296295166,15.745313119888305,2.075404870510101,0.9769359486130674
