question_id,condition,layer,delta_sycophancy_projection,delta_emotion_projection
eval01,emotion_positive,20,3.136310577392578,10.819753170013428
eval01,emotion_positive,21,3.1737523078918457,10.528307914733887
eval01,emotion_positive,22,3.298916816711426,10.579592227935791
eval01,emotion_positive,23,3.9426963329315186,10.757524967193604
eval01,emotion_positive,24,4.0668113231658936,10.872129440307617
eval01,emotion_positive,25,4.33215856552124,11.018797874450684
eval01,emotion_positive,26,4.215360641479492,11.81562614440918
eval01,emotion_positive,27,7.149730682373047,13.711293697357178
eval01,emotion_orthogonal,20,0.04331827163696289,9.920590877532959
eval01,emotion_orthogonal,21,-0.10497331619262695,9.634840965270996
eval01,emotion_orthogonal,22,-0.06474781036376953,9.714380741119385
eval01,emotion_orthogonal,23,0.2235853672027588,9.726223468780518
eval01,emotion_orthogonal,24,0.14499497413635254,9.840795516967773
eval01,emotion_orthogonal,25,0.056224822998046875,9.846905708312988
eval01,emotion_orthogonal,26,-0.18015241622924805,10.662008285522461
eval01,emotion_orthogonal,27,1.1422910690307617,11.09774398803711
eval01,emotion_orthogonal_matched,20,0.0457148551940918,10.30790662765503
eval01,emotion_orthogonal_matched,21,-0.11045694351196289,10.007613182067871
eval01,emotion_orthogonal_matched,22,-0.07944345474243164,10.087198734283447
eval01,emotion_orthogonal_matched,23,0.22040796279907227,10.100475788116455
eval01,emotion_orthogonal_matched,24,0.1370837688446045,10.222589492797852
eval01,emotion_orthogonal_matched,25,0.039155006408691406,10.22769832611084
eval01,emotion_orthogonal_matched,26,-0.22498703002929688,11.083040237426758
eval01,emotion_orthogonal_matched,27,1.0363578796386719,11.52873182296753
eval01,random_control,20,0.32242679595947266,0.04824638366699219
eval01,random_control,21,0.47598838806152344,0.12710261344909668
eval01,random_control,22,0.3169078826904297,0.16038084030151367
eval01,random_control,23,0.4672849178314209,0.07557106018066406
eval01,random_control,24,0.33875465393066406,0.09263992309570312
eval01,random_control,25,0.48131752014160156,0.11289215087890625
eval01,random_control,26,0.42740631103515625,0.15979385375976562
eval01,random_control,27,1.2495803833007812,0.4831552505493164
eval02,emotion_positive,20,3.2009692192077637,10.968902587890625
eval02,emotion_positive,21,3.224320888519287,10.96033763885498
eval02,emotion_positive,22,3.1869354248046875,11.198156833648682
eval02,emotion_positive,23,3.9696273803710938,11.606582164764404
eval02,emotion_positive,24,4.180337429046631,12.059376239776611
eval02,emotion_positive,25,4.637711524963379,12.294428825378418
eval02,emotion_positive,26,4.65276575088501,13.269912719726562
eval02,emotion_positive,27,8.26566219329834,15.142810821533203
eval02,emotion_orthogonal,20,0.00948953628540039,10.066839694976807
eval02,emotion_orthogonal,21,-0.16159915924072266,10.082861423492432
eval02,emotion_orthogonal,22,-0.2398996353149414,10.36648941040039
eval02,emotion_orthogonal,23,0.11622190475463867,10.567387580871582
eval02,emotion_orthogonal,24,0.09738349914550781,10.997053623199463
eval02,emotion_orthogonal,25,0.15895700454711914,11.102361679077148
eval02,emotion_orthogonal,26,-0.024089813232421875,12.069700241088867
eval02,emotion_orthogonal,27,1.843031883239746,12.22480583190918
eval02,emotion_orthogonal_matched,20,0.013163089752197266,10.4631929397583
eval02,emotion_orthogonal_matched,21,-0.16152000427246094,10.476531028747559
eval02,emotion_orthogonal_matched,22,-0.24530553817749023,10.778168201446533
eval02,emotion_orthogonal_matched,23,0.12720727920532227,10.988721370697021
eval02,emotion_orthogonal_matched,24,0.11089801788330078,11.431531429290771
eval02,emotion_orthogonal_matched,25,0.18127965927124023,11.54323673248291
eval02,emotion_orthogonal_matched,26,-0.017704010009765625,12.558971405029297
eval02,emotion_orthogonal_matched,27,1.9455900192260742,12.700435638427734
eval02,random_control,20,0.4015660285949707,-0.0029473304748535156
eval02,random_control,21,0.5774216651916504,0.11055374145507812
eval02,random_control,22,0.4356648921966553,0.0663444995880127
eval02,random_control,23,0.705904483795166,-0.02000117301940918
eval02,random_control,24,0.6640458106994629,0.016453027725219727
eval02,random_control,25,0.7844405174255371,0.04725837707519531
eval02,random_control,26,0.8928403854370117,0.08506202697753906
eval02,random_control,27,1.1980581283569336,0.6700363159179688
eval03,emotion_positive,20,3.228161334991455,11.094026327133179
eval03,emotion_positive,21,3.281616687774658,11.117385745048523
eval03,emotion_positive,22,3.5146093368530273,11.470160245895386
eval03,emotion_positive,23,4.3050336837768555,11.880964994430542
eval03,emotion_positive,24,4.680304050445557,12.319424152374268
eval03,emotion_positive,25,5.189305305480957,12.651914119720459
eval03,emotion_positive,26,5.19481086730957,13.641620635986328
eval03,emotion_positive,27,9.078761100769043,16.24667739868164
eval03,emotion_orthogonal,20,0.058426856994628906,10.174509763717651
eval03,emotion_orthogonal,21,-0.05313682556152344,10.212669253349304
eval03,emotion_orthogonal,22,0.07020950317382812,10.53719687461853
eval03,emotion_orthogonal,23,0.4260854721069336,10.766387701034546
eval03,emotion_orthogonal,24,0.4846363067626953,11.142778873443604
eval03,emotion_orthogonal,25,0.6407232284545898,11.336528301239014
eval03,emotion_orthogonal,26,0.4865760803222656,12.273900985717773
eval03,emotion_orthogonal,27,2.3326587677001953,13.29233169555664
eval03,emotion_orthogonal_matched,20,0.06068706512451172,10.578858137130737
eval03,emotion_orthogonal_matched,21,-0.05633735656738281,10.619561076164246
eval03,emotion_orthogonal_matched,22,0.07434368133544922,10.954828977584839
eval03,emotion_orthogonal_matched,23,0.4424171447753906,11.195165395736694
eval03,emotion_orthogonal_matched,24,0.5097312927246094,11.585031986236572
eval03,emotion_orthogonal_matched,25,0.6779260635375977,11.78690481185913
eval03,emotion_orthogonal_matched,26,0.4968910217285156,12.766946792602539
eval03,emotion_orthogonal_matched,27,2.448526382446289,13.851837158203125
eval03,random_control,20,0.31798458099365234,-0.027593374252319336
eval03,random_control,21,0.49310874938964844,-0.02817237377166748
eval03,random_control,22,0.36585235595703125,-0.018271207809448242
eval03,random_control,23,0.5794744491577148,-0.1364586353302002
eval03,random_control,24,0.4712066650390625,-0.1849970817565918
eval03,random_control,25,0.5830535888671875,-0.23528528213500977
eval03,random_control,26,0.34847259521484375,-0.2406330108642578
eval03,random_control,27,0.10173606872558594,0.16524505615234375
eval04,emotion_positive,20,3.2397499084472656,10.961513757705688
eval04,emotion_positive,21,3.248136520385742,10.629867315292358
eval04,emotion_positive,22,3.1973042488098145,10.505549669265747
eval04,emotion_positive,23,3.9790449142456055,10.710926532745361
eval04,emotion_positive,24,4.128465175628662,10.903095722198486
eval04,emotion_positive,25,4.444671630859375,10.82947826385498
eval04,emotion_positive,26,4.426937103271484,11.223115921020508
eval04,emotion_positive,27,6.660399436950684,12.66271686553955
eval04,emotion_orthogonal,20,0.12414360046386719,10.062233209609985
eval04,emotion_orthogonal,21,-0.05762958526611328,9.732743501663208
eval04,emotion_orthogonal,22,-0.11369895935058594,9.643510103225708
eval04,emotion_orthogonal,23,0.2747631072998047,9.669840335845947
eval04,emotion_orthogonal,24,0.23606014251708984,9.851000308990479
eval04,emotion_orthogonal,25,0.22873592376708984,9.696907997131348
eval04,emotion_orthogonal,26,0.06707191467285156,10.093450546264648
eval04,emotion_orthogonal,27,0.5085906982421875,10.162437438964844
eval04,emotion_orthogonal_matched,20,0.13001108169555664,10.46333384513855
eval04,emotion_orthogonal_matched,21,-0.05617046356201172,10.121742486953735
eval04,emotion_orthogonal_matched,22,-0.11265182495117188,10.03231167793274
eval04,emotion_orthogonal_matched,23,0.28916454315185547,10.065483570098877
eval04,emotion_orthogonal_matched,24,0.24301815032958984,10.255839824676514
eval04,emotion_orthogonal_matched,25,0.23467445373535156,10.096230506896973
