layer,emotion,cleaned_cosine,raw_cosine,absolute_cleaned_cosine,mean_pair_cleaned_cosine,std_pair_cleaned_cosine,pair_sign_agreement
0,disdainful,0.2296256124973297,0.21446774899959564,0.2296256124973297,0.21649007499217987,0.04055961221456528,1.0
0,on edge,0.22501584887504578,0.22841960191726685,0.22501584887504578,0.21131578087806702,0.02151987887918949,1.0
0,sorry,0.2062281221151352,0.19685690104961395,0.2062281221151352,0.1940641850233078,0.02486819215118885,1.0
0,bewildered,-0.20072369277477264,-0.2136695832014084,0.20072369277477264,-0.18790340423583984,0.0188099704682827,1.0
0,dependent,0.1986493170261383,0.2143658846616745,0.1986493170261383,0.18682411313056946,0.02727307751774788,1.0
0,lonely,-0.1942765712738037,-0.15431930124759674,0.1942765712738037,-0.18250450491905212,0.040273405611515045,1.0
0,astonished,-0.18907934427261353,-0.18961204588413239,0.18907934427261353,-0.17711830139160156,0.028767235577106476,1.0
0,annoyed,-0.1840067356824875,-0.20100298523902893,0.1840067356824875,-0.17115665972232819,0.016140811145305634,1.0
0,envious,0.17918315529823303,0.1917387992143631,0.17918315529823303,0.16818241775035858,0.02283325605094433,1.0
0,insulted,0.17823578417301178,0.18464548885822296,0.17823578417301178,0.16699008643627167,0.019672177731990814,1.0
0,sympathetic,0.17423100769519806,0.15561331808567047,0.17423100769519806,0.1631041318178177,0.029053552076220512,1.0
0,frustrated,-0.16811740398406982,-0.17731653153896332,0.16811740398406982,-0.15683035552501678,0.015870248898863792,1.0
0,unsettled,-0.16689026355743408,-0.16267618536949158,0.16689026355743408,-0.15480443835258484,0.013877983205020428,1.0
0,indignant,-0.1660865843296051,-0.18054503202438354,0.1660865843296051,-0.15684957802295685,0.02701321616768837,1.0
0,thrilled,-0.16388677060604095,-0.17479608952999115,0.16388677060604095,-0.1552312672138214,0.033405549824237823,1.0
0,playful,0.16167083382606506,0.1596682071685791,0.16167083382606506,0.1508675068616867,0.020347096025943756,1.0
0,angry,-0.16092842817306519,-0.1778792142868042,0.16092842817306519,-0.14937937259674072,0.01081202831119299,1.0
0,delighted,0.15162010490894318,0.12892362475395203,0.15162010490894318,0.14191092550754547,0.012559598311781883,1.0
