layer,overlap_full_sycophancy_pearson_r,orthogonal_reduction_proportion,mean_sycophancy_reduction,mean_emotion_preservation
22,0.9739115758525198,0.9,0.2649057272000937,0.9941319779544164
39,0.8412765036829128,0.85,2.7930127594433722,0.9835650950220188
