layer,pair_id,emotion_persona_invariance_cosine,persona_emotion_invariance_cosine,interaction_norm,interaction_relative
25,sp3,0.9931672,0.98980594,0.3609191,0.117324896
26,sp3,0.9933783,0.9899033,0.37213248,0.11555544
27,sp3,0.9935844,0.98924315,0.37947738,0.11387946
28,sp3,0.99368876,0.99005294,0.39221203,0.11283361
29,sp3,0.99418145,0.9872592,0.39124244,0.10871045
30,sp3,0.99344265,0.9871002,0.44181946,0.11539704
31,sp3,0.99247074,0.9871557,0.49830276,0.12291968
32,sp3,0.9913265,0.9884029,0.5676064,0.13175157
33,sp3,0.99115855,0.98744774,0.65782017,0.1329913
34,sp3,0.9839432,0.9775923,1.030931,0.17925785
35,sp3,0.9820584,0.9817787,1.2571942,0.18949889
36,sp3,0.98228,0.9816102,1.3864537,0.18837164
37,sp3,0.98047227,0.9821254,1.6429373,0.19767776
38,sp3,0.9659387,0.983365,2.4188702,0.261638
39,sp3,0.96210283,0.9875085,23.45472,0.27579278
0,sp4,0.997978,0.99913824,0.016049393,0.063591346
1,sp4,0.9980866,0.99656695,0.017609857,0.062191065
2,sp4,0.9986879,0.99605256,0.018139517,0.05130577
3,sp4,0.99887305,0.9957732,0.018752651,0.04759133
4,sp4,0.99900776,0.9951321,0.01956995,0.0445467
5,sp4,0.9986807,0.9957881,0.024492787,0.051425524
6,sp4,0.99815047,0.99125266,0.03376082,0.06096666
7,sp4,0.9974722,0.99076414,0.04470989,0.07110551
8,sp4,0.9969213,0.9898871,0.05376554,0.0786346
9,sp4,0.9968224,0.9943244,0.05932589,0.07984064
10,sp4,0.9956786,0.994126,0.08383877,0.093053676
11,sp4,0.9948946,0.99168116,0.10419394,0.10121988
12,sp4,0.9949444,0.9901299,0.10637561,0.100734666
13,sp4,0.9938236,0.9832097,0.12830183,0.111905895
14,sp4,0.9917532,0.97951365,0.16873829,0.12919085
15,sp4,0.9918783,0.9785172,0.1825134,0.12828724
16,sp4,0.9921777,0.97956634,0.20758164,0.1255239
17,sp4,0.9906389,0.972194,0.23586959,0.13780044
18,sp4,0.9880957,0.97476596,0.29678997,0.15487193
19,sp4,0.9881929,0.97604483,0.32468265,0.15471496
20,sp4,0.98836625,0.9733329,0.33336952,0.15338232
21,sp4,0.9864314,0.9725492,0.42826244,0.16788591
22,sp4,0.9855435,0.9755169,0.47821093,0.17208444
23,sp4,0.98521733,0.9748199,0.5005166,0.1737788
24,sp4,0.9858471,0.97477895,0.5083403,0.16996069
25,sp4,0.98568535,0.9763903,0.54708105,0.17094862
26,sp4,0.98606706,0.9766971,0.56631786,0.1687912
27,sp4,0.98635757,0.97550315,0.582158,0.16743162
28,sp4,0.9866411,0.9773106,0.6002928,0.1651355
29,sp4,0.98735875,0.9737611,0.6067666,0.16115046
30,sp4,0.98564297,0.97430533,0.6856584,0.17136146
31,sp4,0.9842503,0.9756411,0.75333416,0.17831501
32,sp4,0.98273647,0.97370964,0.8399398,0.1868977
33,sp4,0.98252904,0.9752191,0.9689921,0.18783681
34,sp4,0.9789201,0.97080386,1.2450265,0.20777218
35,sp4,0.97419524,0.9828804,1.5639074,0.22937872
36,sp4,0.9750634,0.98199683,1.7153416,0.22672835
37,sp4,0.97272277,0.9819686,2.0430698,0.23866196
38,sp4,0.96463937,0.9791908,2.6199608,0.2773306
39,sp4,0.96377856,0.980098,24.111183,0.283667
0,sp5,0.9980893,0.9992607,0.01561816,0.06181829
1,sp5,0.9972597,0.9967981,0.021008408,0.07413063
2,sp5,0.9519992,0.9947293,0.12246789,0.32710326
3,sp5,0.95555407,0.9931508,0.12873332,0.3108763
4,sp5,0.9614312,0.9937154,0.13098186,0.28650263
5,sp5,0.9982282,0.99020565,0.028381169,0.059552267
6,sp5,0.9981065,0.991267,0.034078047,0.061879423
7,sp5,0.99798334,0.9910606,0.040377267,0.06436891
8,sp5,0.99696547,0.98943985,0.05349002,0.078520626
9,sp5,0.9963651,0.99204195,0.06329533,0.08567362
10,sp5,0.9926121,0.9908874,0.11057172,0.12431953
11,sp5,0.99116975,0.99050397,0.13787654,0.13584481
12,sp5,0.99047494,0.99028075,0.14613816,0.14013636
13,sp5,0.98736733,0.9902234,0.18324402,0.16228761
14,sp5,0.9853236,0.98656255,0.22311457,0.1747001
15,sp5,0.9875451,0.98692846,0.22401166,0.16116537
16,sp5,0.98838353,0.98544776,0.25223467,0.15665342
17,sp5,0.9885968,0.98212177,0.26024377,0.15568173
18,sp5,0.98750764,0.9810575,0.3080842,0.16545358
19,sp5,0.98827636,0.980005,0.32833946,0.16122824
20,sp5,0.98875684,0.9791534,0.3332902,0.15881051
21,sp5,0.9857593,0.966524,0.4603791,0.18608174
22,sp5,0.985662,0.968513,0.5091468,0.18822362
23,sp5,0.98614997,0.96819276,0.51877594,0.18513167
24,sp5,0.98668873,0.967427,0.5289331,0.18169442
25,sp5,0.9865126,0.96637475,0.57380426,0.18412913
26,sp5,0.9871054,0.965037,0.59360325,0.18187548
27,sp5,0.9872259,0.9626968,0.6145392,0.1819231
28,sp5,0.9872233,0.9627709,0.6472088,0.18339282
29,sp5,0.98772115,0.95870703,0.66418546,0.18176818
30,sp5,0.9870111,0.96270716,0.7189139,0.18502
31,sp5,0.98612815,0.9630364,0.77599305,0.18921557
32,sp5,0.9853433,0.96758074,0.8317726,0.19084334
33,sp5,0.98577726,0.9639089,0.9582389,0.19190605
34,sp5,0.98149246,0.96025026,1.232507,0.21451217
35,sp5,0.9785018,0.9712004,1.4701409,0.2254479
36,sp5,0.9790445,0.9718533,1.591265,0.22000302
37,sp5,0.9783225,0.9723803,1.8090192,0.22119997
38,sp5,0.96670705,0.9726028,2.417261,0.26669076
39,sp5,0.9465629,0.98659873,27.580301,0.32693654
